Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594475083, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475093, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475103, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475113, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475123, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475133, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475144, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475154, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 7, 17
1594475164, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475174, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475184, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475194, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475204, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475214, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475225, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 9, 17
1594475235, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475245, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475255, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475265, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475275, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475285, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475295, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475306, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475316, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475326, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475336, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475346, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594475356, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475366, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475377, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475387, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475397, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475407, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475417, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594475427, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475437, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475447, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475458, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475468, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475478, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475488, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475498, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475508, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475518, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475528, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475539, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475549, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475559, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475569, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594475579, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475589, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475599, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475610, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475620, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475630, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475640, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475650, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 11, 17
1594475660, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475670, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475680, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475691, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475701, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475711, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 10, 17
1594475721, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475731, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475741, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475751, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475762, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475772, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475782, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475792, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475802, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475812, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475822, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475832, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475843, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 8, 17
1594475853, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475863, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594475873, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475883, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475893, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475903, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 10, 17
1594475913, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475924, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 11, 17
1594475934, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594475944, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594475954, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
